inner_ID,Ligand SMILES,IC50 (nM),ref,onlyligand_token
id_2445,Brc1ccc2OCCC(C(=O)Nc3cncc4ccccc34)c2c1,851,BindingDB,"['Br0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_4398,Clc1cccc(CC(=O)Nc2cncc3CCCOc23)c1,9860,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0']"
id_3575,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CC2)c2cccnc2)cc1,3860,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0']"
id_1876,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,404,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C3', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0']"
id_3504,C[C@](N(C(=O)CCl)c1ccc(cc1)-c1ccns1)(C(=O)NC1CCC(F)(F)CC1)c1cnccn1,3490,BindingDB,"['C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'S2', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1']"
id_1214,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2(F)CC2)Cc2ccc(Cl)cc21,176.2791621,Moonshot,"['O0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'S6', 'O0', 'O0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0']"
id_2507,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,938.8873911,Moonshot,"['C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0']"
id_2911,CCC(=O)Nc1ccc(cc1)N(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,1630,BindingDB,"['C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'S2', 'C0', 'C0', 'O0', 'C0', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_2423,COC1(CCOC2=C1C=C(C=C2)Cl)C(=O)NC3=C4C=NC=CC4=CN=C3,832,Pubchem&Chembl,"['C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0']"
id_653,Clc1ccc(cc1)-c1ccc(o1)C(=O)Oc1cncc(Cl)c1,63,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0', 'O0', 'C0', 'C0', 'N1', 'C0', 'C0', 'Cl6', 'C0']"
id_7868,CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,99500,BindingDB,"['C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0']"
id_7938,CC[C@@H]1NC(=O)[C@@H](N)CCNC(=O)[C@@H]2CSC(=N2)c2cccc(n2)C2=N[C@@H](CS2)C(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC1=O,100000,Pubchem&Chembl,"['C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N7', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'S2', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'S2', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'O0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'N1', 'O0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0']"
id_7997,C/C=C/C(=O)NCc1nc(-c2ccc(C(F)(F)F)cc2)no1,249990,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1', 'C0', 'C0', 'N1', 'O0']"
